DBA,BORO,ZIPCODE,Latitude,Longitude,STREET,CUISINE DESCRIPTION
SUBWAY,Manhattan,10005,40.7065462,-74.01103325,BROAD STREET,Soups/Salads/Sandwiches
SMASHBURGER,Manhattan,10001,40.74878293,-73.99224402,7 AVENUE,American
WENDY'S,Manhattan,10019,40.76572267,-73.98358519,8 AVENUE,American
CAFE SELECT,Manhattan,10012,40.72177469,-73.9975901,LAFAYETTE STREET,Eastern European
KOI,Manhattan,10018,40.75305291,-73.98389151,WEST   40 STREET,Japanese
STARBUCKS,Manhattan,10016,40.75049672,-73.97886451,PARK AVENUE,Coffee/Tea
SAL AND CARMINE PIZZA,Manhattan,10025,40.79822582,-73.96918411,BROADWAY,Pizza
Maman Hudson Square,Manhattan,10014,40.7284278,-74.00715106,HUDSON STREET,New French
8-BIT BITES,Manhattan,10011,40.74308775,-73.99636233,7 AVENUE,American
LONG ACRE TAVERN,Manhattan,10036,40.75857251,-73.98315019,WEST   47 STREET,American
SAIGUETTE,Manhattan,10025,40.79907211,-73.96296773,COLUMBUS AVENUE,Southeast Asian
JOE'S HOME OF SOUP DUMPLINGS,Manhattan,10017,40.75763549,-73.977043,EAST   49 STREET,Chinese
METRO CAFE,Manhattan,10001,40.74646096,-73.99391164,7 AVENUE,American
O'DONOGHUE'S,Manhattan,10036,40.75673922,-73.98463418,WEST   44 STREET,American
YUMMY STICK,Manhattan,10011,40.74121314,-74.00004691,WEST   17 STREET,Japanese
TONDA PIZZA,Manhattan,10001,40.74689421,-73.98844035,BROADWAY,Pizza
RICE KITCHEN,Manhattan,10012,40.72529345,-74.00350321,SPRING STREET,Asian/Asian Fusion
